LaneIndex,Block,Row,Column,PeakStart,PeakEnd,PeakCenter,PeakHeight,PeakFWHM,PeakArea,"Well Center, X (pixels)","Well Center, Y (pixels)"
3942,10,9,22,350,645,490,2330.73225545106,100,252169.103460442,2947.5,3790
3943,10,9,23,375,650,505,429.324791975257,95,44598.8346029692,2987.5,3790
3954,10,9,34,380,670,505,733.504661075304,100,78393.348537221,3427.5,3790
3957,10,9,37,280,405,345,328.924034038958,50,17203.7703126542,3547.5,3790
3964,10,10,4,400,670,525,1913.0205859532,95,193491.655057666,2227.5,3970
3969,10,10,9,400,685,530,2664.92589869048,95,274062.85174567,2427.5,3970
3979,10,10,19,380,660,500,1027.76875885265,95,103898.163373554,2827.5,3970
3985,10,10,25,375,710,520,352.857449823763,105,41324.3301228124,3067.5,3970
3993,10,10,33,380,655,500,837.787919144441,95,85810.2649459694,3387.5,3970
3997,10,10,37,390,655,515,1009.28991296159,95,101881.407879443,3547.5,3970
4010,11,1,10,355,660,500,1734.11010637615,95,186238.848516994,4192.5,2350
4017,11,1,17,365,670,495,358.363228848786,100,38937.6215332114,4472.5,2350
4025,11,1,25,345,640,495,1157.87968288123,95,120987.314427769,4792.5,2350
4049,11,2,9,345,650,490,1151.75839765509,95,121152.486940895,4152.5,2530
4055,11,2,15,350,640,495,715.974836677482,95,75036.224952734,4392.5,2530
4060,11,2,20,355,675,500,699.910218083874,100,74827.9898432747,4592.5,2530
4066,11,2,26,335,640,485,1473.95931042977,100,161278.875121109,4832.5,2530
4067,11,2,27,385,760,530,827.712641380534,145,122207.92568738,4872.5,2530
4080,11,2,40,370,610,485,147.722336342085,95,14573.5120681145,5392.5,2530
4104,11,3,24,355,675,495,501.770313230841,95,52315.8722476821,4752.5,2710
4114,11,3,34,365,635,500,1803.57437823766,95,180478.958343382,5152.5,2710
4119,11,3,39,350,640,485,2001.3945030938,95,207175.451418546,5352.5,2710
4120,11,3,40,350,670,485,161.041504645366,100,18748.1162450468,5392.5,2710
4127,11,4,7,365,655,505,1354.35346139831,100,143915.332190901,4072.5,2890
4131,11,4,11,350,645,495,596.644643377572,100,66363.4013528822,4232.5,2890
4140,11,4,20,380,640,505,462.524480693619,100,48100.607696859,4592.5,2890
4149,11,4,29,335,660,490,1112.66908173936,105,127154.845885306,4952.5,2890
4162,11,5,2,360,625,490,378.571726636754,100,40291.6288253419,3872.5,3070
4177,11,5,17,365,675,500,844.495870826692,100,93334.678290514,4472.5,3070
4184,11,5,24,360,640,490,478.639418820096,100,52452.5080465134,4752.5,3070
4190,11,5,30,340,635,480,2429.76128564469,100,261408.246700714,4992.5,3070
4194,11,5,34,355,595,495,147.2352409335,90,14360.0736877052,5152.5,3070
4196,11,5,36,420,745,570,1564.45772634565,110,190573.74165655,5232.5,3070
4206,11,6,6,385,645,495,144.850188815981,105,15879.0418981095,4032.5,3250
4211,11,6,11,345,630,480,2184.89753150311,95,226819.339624174,4232.5,3250
4218,11,6,18,350,660,490,2118.78343486045,105,233378.322433462,4512.5,3250
4243,11,7,3,345,675,480,247.057870374284,100,28195.4331018314,3912.5,3430
4249,11,7,9,365,645,500,946.47448765708,95,99583.1517807077,4152.5,3430
4257,11,7,17,325,645,495,205.64250327916,105,23595.7067991019,4472.5,3430
4271,11,7,31,330,630,480,3933.0926684755,100,417562.88021655,5032.5,3430
4280,11,7,40,340,675,500,408.614574880998,105,46320.5487356611,5392.5,3430
4281,11,8,1,315,635,480,1083.42234215008,100,122248.030753774,3832.5,3610
4283,11,8,3,360,720,535,1818.50745682144,130,257232.808149713,3912.5,3610
4296,11,8,16,335,635,480,2572.71448868719,100,277245.424506524,4432.5,3610
4311,11,8,31,345,645,495,1318.99358620392,100,144193.10695718,5032.5,3610
4312,11,8,32,355,690,495,297.413204323526,105,33220.7483642813,5072.5,3610
4321,11,9,1,360,645,490,1224.63802294537,100,129715.590453103,3832.5,3790
4329,11,9,9,355,645,490,2364.53657082993,95,250702.619869547,4152.5,3790
4332,11,9,12,245,645,485,534.113015875369,100,67874.4488379628,4272.5,3790
4337,11,9,17,365,685,495,278.658208197866,105,31964.9190996746,4472.5,3790
4338,11,9,18,350,645,495,313.323989290065,95,34378.901123211,4512.5,3790
4347,11,9,27,405,755,530,453.745465251593,120,59181.8370353634,4872.5,3790
4367,11,10,7,380,680,510,1092.49645397309,100,117833.783972558,4072.5,3970
4370,11,10,10,380,675,515,2213.98753746874,95,234396.856742228,4192.5,3970
4376,11,10,16,355,660,500,4120.58074345753,100,452615.00080482,4432.5,3970
4383,11,10,23,365,670,515,765.188608916915,110,88279.1649301981,4712.5,3970
4384,11,10,24,385,675,515,1650.50160206564,100,177675.049903338,4752.5,3970
4391,11,10,31,85,380,215,201.888136155095,100,22281.0043776296,5032.5,3970
4397,11,10,37,390,695,525,1930.07565750556,100,212352.383911598,5272.5,3970
4418,12,1,18,360,630,500,563.95002015039,95,58118.571234031,6237.5,2350
4425,12,1,25,370,700,495,237.279878200867,105,27387.5888867119,6517.5,2350
4430,12,1,30,350,635,490,2020.28012675701,95,207488.357009964,6717.5,2350
4432,12,1,32,355,690,495,502.771347480078,100,56796.3193384772,6797.5,2350
4433,12,1,33,325,635,485,3614.73097285987,100,395297.52488134,6837.5,2350
4435,12,1,35,345,660,495,1748.21752802861,95,183399.837837031,6917.5,2350
4436,12,1,36,355,665,495,843.115418350714,95,87945.8326351272,6957.5,2350
4441,12,2,1,330,635,475,1724.6487952313,100,184924.274592815,5557.5,2530
4451,12,2,11,330,625,475,4073.80927540864,95,429557.203932147,5957.5,2530
4453,12,2,13,365,650,500,2126.75552327296,95,218571.513534557,6037.5,2530
4474,12,2,34,305,665,500,334.526349467709,105,39506.3459112066,6877.5,2530
4475,12,2,35,370,635,495,242.139053635364,100,26282.964917792,6917.5,2530
4476,12,2,36,365,645,500,2327.81029300516,95,237815.761031098,6957.5,2530
4479,12,2,39,360,640,500,614.075262535632,95,63949.1087324901,7077.5,2530
4484,12,3,4,290,635,470,1270.11334794812,105,149857.802230471,5677.5,2710
4488,12,3,8,365,645,495,1683.92085949298,90,170808.238582883,5837.5,2710
4495,12,3,15,330,620,475,1614.2168711561,95,163315.181822286,6117.5,2710
4497,12,3,17,365,715,500,1087.7580729021,95,118339.092248,6197.5,2710
4511,12,3,31,350,640,495,1168.93968013127,100,122994.38485172,6757.5,2710
4526,12,4,6,380,690,510,196.806690146068,125,25923.7508325438,5757.5,2890
4564,12,5,4,355,635,490,1176.44494060698,100,123683.181302657,5677.5,3070
4568,12,5,8,350,635,490,760.198723609228,95,79754.0542926882,5837.5,3070
4577,12,5,17,350,680,495,443.91158434852,100,48761.9616090779,6197.5,3070
4601,12,6,1,320,635,480,5749.03967427435,100,632575.436694737,5557.5,3250
4604,12,6,4,340,685,490,453.923392579551,105,52326.7176679363,5677.5,3250
4608,12,6,8,385,735,510,159.331973027491,95,19710.8257940366,5837.5,3250
4631,12,6,31,370,655,500,1826.77700249592,100,193191.197042658,6757.5,3250
4648,12,7,8,350,675,505,631.902947044738,105,71814.9224611073,5837.5,3430
4649,12,7,9,370,655,510,792.279438068261,95,82609.9783700834,5877.5,3430
4650,12,7,10,375,685,515,502.001081307563,100,55379.9650351173,5917.5,3430
4654,12,7,14,365,670,505,361.974345474551,100,42164.7373525561,6077.5,3430
4660,12,7,20,370,655,510,1243.25783197522,95,131282.230973782,6317.5,3430
4661,12,7,21,505,670,565,245.52179520465,35,10971.5718536139,6357.5,3430
4665,12,7,25,620,745,675,198.854256478033,45,10047.6190567733,6517.5,3430
4671,12,7,31,355,710,495,1468.05984561001,100,164044.812695141,6757.5,3430
4676,12,7,36,375,700,495,167.338534559317,100,19180.6509560122,6957.5,3430
4731,12,9,11,375,745,520,1064.38419928915,105,122788.987383178,5957.5,3790
4734,12,9,14,365,690,510,1944.1161608319,100,219401.477006376,6077.5,3790
4737,12,9,17,380,655,515,432.320586305019,100,46361.295432782,6197.5,3790
4757,12,9,37,195,320,260,279.516759575773,35,11416.0322974987,6997.5,3790
4758,12,9,38,360,645,510,1498.32552452995,100,158774.353442442,7037.5,3790
